accession	KO	target	score	evalue	threshold	pass
GCF_000008445.1	K05846	NC_007530.2_4567	52.0	1.5e-14	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4293	51.7	1.9e-14	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5339	50.8	3.3e-14	180.93	False
GCF_000008445.1	K05846	NC_007530.2_719	49.9	6.2e-14	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4808	49.9	6.5e-14	180.93	False
GCF_000008445.1	K05846	NC_007530.2_894	49.2	1.1e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3687	49.1	1.1e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_136	49.0	1.2e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_654	48.9	1.3e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4772	48.2	2.1e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1715	47.9	2.5e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2922	47.9	2.6e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_837	47.5	3.3e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4519	47.5	3.4e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5268	47.3	3.8e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5365	47.2	4.1e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3115	47.0	4.7e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2373	46.9	5e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3253	46.7	5.8e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5168	46.6	6.3e-13	180.93	False
GCF_000008445.1	K05846	NC_007530.2_611	45.4	1.5e-12	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3058	44.8	2.2e-12	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3748	44.6	2.5e-12	180.93	False
GCF_000008445.1	K05846	NC_007530.2_653	44.4	3e-12	180.93	False
GCF_000008445.1	K05846	NC_007530.2_227	43.2	6.8e-12	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3575	41.4	2.3e-11	180.93	False
GCF_000008445.1	K05846	NC_007530.2_788	41.3	2.5e-11	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4459	41.0	3.1e-11	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5085	40.8	3.7e-11	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4856	40.5	4.4e-11	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5241	40.5	4.6e-11	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4388	39.1	1.2e-10	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3198	38.2	2.3e-10	180.93	False
GCF_000008445.1	K05846	NC_007530.2_198	38.2	2.3e-10	180.93	False
GCF_000008445.1	K05846	NC_007530.2_377	37.3	4e-10	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4305	36.7	6.2e-10	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4864	36.1	9.5e-10	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1850	36.0	1.1e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3568	35.8	1.2e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3574	35.8	1.2e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_710	35.4	1.6e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3723	34.9	2.2e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2495	34.5	2.9e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2432	33.9	4.3e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2072	33.9	4.4e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2284	33.8	4.8e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4531	33.6	5.6e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3338	33.5	5.9e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3573	33.5	5.9e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3567	33.4	6.5e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1234	32.9	8.7e-09	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5164	32.5	1.2e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1872	31.9	1.7e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_378	31.3	2.8e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2339	31.2	3e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1311	30.7	4e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5416	30.5	4.8e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3487	30.3	5.6e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2784	29.6	9.1e-08	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4294	29.3	1.1e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_634	29.2	1.1e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3507	29.1	1.2e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_839	28.4	2e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1862	27.9	2.9e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1851	27.1	5.2e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1013	27.0	5.5e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_1863	26.7	6.5e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5162	26.4	8.2e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_220	26.4	8.3e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_524	26.4	8.3e-07	180.93	False
GCF_000008445.1	K05846	NC_007530.2_3235	25.6	1.5e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4943	25.2	1.9e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_520	25.2	2e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_635	24.9	2.4e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_5387	24.7	2.7e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_2042	24.0	4.4e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_254	23.3	7.1e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_709	23.2	7.6e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_276	23.1	8.4e-06	180.93	False
GCF_000008445.1	K05846	NC_007530.2_4246	22.9	9.8e-06	180.93	False
GCF_000008445.1	K05847	NC_007530.2_2187	490.9	1.9e-147	368.67	True
GCF_000008445.1	K05847	NC_007530.2_2674	359.0	1.8e-107	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1232	318.5	3.4e-95	368.67	False
GCF_000008445.1	K05847	NC_007530.2_560	298.5	3.9e-89	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2534	296.3	1.8e-88	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1661	289.6	2e-86	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4043	279.0	3.2e-83	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3213	276.7	1.6e-82	368.67	False
GCF_000008445.1	K05847	NC_007530.2_303	272.6	2.9e-81	368.67	False
GCF_000008445.1	K05847	NC_007530.2_632	263.8	1.4e-78	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4988	261.7	5.7e-78	368.67	False
GCF_000008445.1	K05847	NC_007530.2_842	250.9	1.1e-74	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4178	249.0	4.1e-74	368.67	False
GCF_000008445.1	K05847	NC_007530.2_173	247.0	1.6e-73	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2798	242.5	3.7e-72	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4808	234.3	1.1e-69	368.67	False
GCF_000008445.1	K05847	NC_007530.2_362	232.8	3.4e-69	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1142	227.0	1.9e-67	368.67	False
GCF_000008445.1	K05847	NC_007530.2_719	214.5	1.1e-63	368.67	False
GCF_000008445.1	K05847	NC_007530.2_662	212.1	6.2e-63	368.67	False
GCF_000008445.1	K05847	NC_007530.2_894	209.2	4.6e-62	368.67	False
GCF_000008445.1	K05847	NC_007530.2_377	208.9	5.6e-62	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2851	205.3	6.9e-61	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4293	200.8	1.7e-59	368.67	False
GCF_000008445.1	K05847	NC_007530.2_186	196.8	2.7e-58	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4520	195.7	6e-58	368.67	False
GCF_000008445.1	K05847	NC_007530.2_137	195.4	7.3e-58	368.67	False
GCF_000008445.1	K05847	NC_007530.2_788	194.6	1.3e-57	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3575	194.0	1.9e-57	368.67	False
GCF_000008445.1	K05847	NC_007530.2_653	189.6	4e-56	368.67	False
GCF_000008445.1	K05847	NC_007530.2_227	188.9	6.7e-56	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5241	188.3	1.1e-55	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3748	187.5	1.8e-55	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3115	187.5	1.8e-55	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1271	186.6	3.3e-55	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2922	185.9	5.4e-55	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5268	185.7	6.3e-55	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3253	184.4	1.6e-54	368.67	False
GCF_000008445.1	K05847	NC_007530.2_136	182.3	6.7e-54	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4772	181.8	9.7e-54	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4856	179.2	6e-53	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3198	177.1	2.5e-52	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5168	176.0	5.5e-52	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2495	175.2	9.5e-52	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4459	174.8	1.3e-51	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1715	174.7	1.3e-51	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1141	174.5	1.6e-51	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4519	174.4	1.6e-51	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5339	172.7	5.5e-51	368.67	False
GCF_000008445.1	K05847	NC_007530.2_654	172.3	7e-51	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4864	169.8	4e-50	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2373	167.4	2.3e-49	368.67	False
GCF_000008445.1	K05847	NC_007530.2_226	164.3	1.9e-48	368.67	False
GCF_000008445.1	K05847	NC_007530.2_611	163.2	4.1e-48	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2284	161.0	1.9e-47	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1872	159.5	5.5e-47	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5365	159.2	6.7e-47	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2432	158.0	1.6e-46	368.67	False
GCF_000008445.1	K05847	NC_007530.2_185	154.4	2e-45	368.67	False
GCF_000008445.1	K05847	NC_007530.2_276	153.6	3.4e-45	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5164	153.5	3.7e-45	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4558	152.9	5.5e-45	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4567	150.1	3.9e-44	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3687	149.1	7.6e-44	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2339	148.9	8.8e-44	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1311	148.8	9.3e-44	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4531	146.9	3.6e-43	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3567	146.5	4.7e-43	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5387	145.6	9e-43	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5085	145.4	1e-42	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4388	144.6	1.8e-42	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3058	143.3	4.4e-42	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3338	142.5	8e-42	368.67	False
GCF_000008445.1	K05847	NC_007530.2_524	141.8	1.3e-41	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4943	140.9	2.3e-41	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3723	140.2	3.8e-41	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4305	140.2	3.9e-41	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3235	139.2	7.7e-41	368.67	False
GCF_000008445.1	K05847	NC_007530.2_839	135.2	1.3e-39	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2340	134.8	1.7e-39	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1013	134.7	1.8e-39	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2072	131.3	2e-38	368.67	False
GCF_000008445.1	K05847	NC_007530.2_520	130.6	3.1e-38	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4246	129.0	9.8e-38	368.67	False
GCF_000008445.1	K05847	NC_007530.2_220	127.0	4e-37	368.67	False
GCF_000008445.1	K05847	NC_007530.2_837	126.0	7.7e-37	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3568	120.9	2.7e-35	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3487	118.9	1.1e-34	368.67	False
GCF_000008445.1	K05847	NC_007530.2_3507	117.4	3.1e-34	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1851	117.3	3.4e-34	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1850	114.9	1.8e-33	368.67	False
GCF_000008445.1	K05847	NC_007530.2_254	112.9	7.2e-33	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5416	111.6	1.8e-32	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1862	109.4	8.5e-32	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2919	109.2	9.7e-32	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1863	108.7	1.4e-31	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2042	104.4	2.7e-30	368.67	False
GCF_000008445.1	K05847	NC_007530.2_378	99.2	1e-28	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4778	98.5	1.8e-28	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2822	98.3	1.9e-28	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4108	96.6	6.3e-28	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2784	93.2	6.8e-27	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5162	89.4	9.6e-26	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1309	87.0	5.2e-25	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2135	79.7	8.5e-23	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2491	78.3	2.3e-22	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5254	76.4	8.6e-22	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2423	66.6	7.7e-19	368.67	False
GCF_000008445.1	K05847	NC_007530.2_2492	62.5	1.4e-17	368.67	False
GCF_000008445.1	K05847	NC_007530.2_1270	56.4	1e-15	368.67	False
GCF_000008445.1	K05847	NC_007530.2_892	48.8	1.9e-13	368.67	False
GCF_000008445.1	K05847	NC_007530.2_5149	46.8	8.2e-13	368.67	False
GCF_000008445.1	K05847	NC_007530.2_4984	46.6	8.9e-13	368.67	False
GCF_000008445.1	K05847	NC_007530.2_893	43.6	7.6e-12	368.67	False
GCF_000008445.1	K02000	NC_007530.2_2674	649.6	2.6e-195	421.03	True
GCF_000008445.1	K02000	NC_007530.2_2187	325.7	2.8e-97	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4988	302.0	4.4e-90	421.03	False
GCF_000008445.1	K02000	NC_007530.2_560	287.6	9.7e-86	421.03	False
GCF_000008445.1	K02000	NC_007530.2_303	282.6	3.2e-84	421.03	False
GCF_000008445.1	K02000	NC_007530.2_1232	271.0	1.1e-80	421.03	False
GCF_000008445.1	K02000	NC_007530.2_1661	269.6	2.7e-80	421.03	False
GCF_000008445.1	K02000	NC_007530.2_173	267.3	1.4e-79	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4043	251.8	6.7e-75	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2534	251.6	7.8e-75	421.03	False
GCF_000008445.1	K02000	NC_007530.2_842	245.1	7.1e-73	421.03	False
GCF_000008445.1	K02000	NC_007530.2_632	238.2	8.6e-71	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4178	233.2	2.9e-69	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2798	218.0	1.1e-64	421.03	False
GCF_000008445.1	K02000	NC_007530.2_1142	214.5	1.3e-63	421.03	False
GCF_000008445.1	K02000	NC_007530.2_362	212.0	7.4e-63	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2922	209.1	5.8e-62	421.03	False
GCF_000008445.1	K02000	NC_007530.2_719	206.5	3.4e-61	421.03	False
GCF_000008445.1	K02000	NC_007530.2_3213	205.9	5.4e-61	421.03	False
GCF_000008445.1	K02000	NC_007530.2_788	201.9	8.5e-60	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4808	198.8	7.5e-59	421.03	False
GCF_000008445.1	K02000	NC_007530.2_1141	195.8	6.1e-58	421.03	False
GCF_000008445.1	K02000	NC_007530.2_894	194.9	1.1e-57	421.03	False
GCF_000008445.1	K02000	NC_007530.2_5241	193.2	3.8e-57	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4520	188.8	7.8e-56	421.03	False
GCF_000008445.1	K02000	NC_007530.2_136	185.8	6.6e-55	421.03	False
GCF_000008445.1	K02000	NC_007530.2_653	185.5	8e-55	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4772	183.3	3.8e-54	421.03	False
GCF_000008445.1	K02000	NC_007530.2_3575	182.8	5.1e-54	421.03	False
GCF_000008445.1	K02000	NC_007530.2_3748	179.2	6.3e-53	421.03	False
GCF_000008445.1	K02000	NC_007530.2_3115	179.2	6.5e-53	421.03	False
GCF_000008445.1	K02000	NC_007530.2_654	176.2	5.1e-52	421.03	False
GCF_000008445.1	K02000	NC_007530.2_3253	173.9	2.6e-51	421.03	False
GCF_000008445.1	K02000	NC_007530.2_377	171.1	1.8e-50	421.03	False
GCF_000008445.1	K02000	NC_007530.2_227	171.1	1.9e-50	421.03	False
GCF_000008445.1	K02000	NC_007530.2_1271	168.4	1.2e-49	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4856	167.8	1.8e-49	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4459	167.1	2.9e-49	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2495	165.8	7.1e-49	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2851	165.2	1.1e-48	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4519	164.6	1.7e-48	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2284	164.5	1.8e-48	421.03	False
GCF_000008445.1	K02000	NC_007530.2_186	164.1	2.4e-48	421.03	False
GCF_000008445.1	K02000	NC_007530.2_226	159.8	4.9e-47	421.03	False
GCF_000008445.1	K02000	NC_007530.2_137	159.5	6.1e-47	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4864	158.0	1.7e-46	421.03	False
GCF_000008445.1	K02000	NC_007530.2_662	157.6	2.2e-46	421.03	False
GCF_000008445.1	K02000	NC_007530.2_5168	154.0	2.7e-45	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2373	153.4	4.1e-45	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4293	151.5	1.6e-44	421.03	False
GCF_000008445.1	K02000	NC_007530.2_185	149.6	5.8e-44	421.03	False
GCF_000008445.1	K02000	NC_007530.2_5268	148.7	1.1e-43	421.03	False
GCF_000008445.1	K02000	NC_007530.2_611	142.3	9.3e-42	421.03	False
GCF_000008445.1	K02000	NC_007530.2_2432	140.5	3.4e-41	421.03	False
GCF_000008445.1	K02000	NC_007530.2_1715	140.2	4.2e-41	421.03	False
GCF_000008445.1	K02000	NC_007530.2_3198	138.7	1.1e-40	421.03	False
GCF_000008445.1	K02000	NC_007530.2_3687	123.7	4.1e-36	421.03	False
GCF_000008445.1	K02000	NC_007530.2_276	122.8	7.8e-36	421.03	False
GCF_000008445.1	K02000	NC_007530.2_5365	121.5	1.9e-35	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4567	118.1	2e-34	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4388	118.0	2.2e-34	421.03	False
GCF_000008445.1	K02000	NC_007530.2_4943	116.9	4.5e-34	421.03	False
